source,frame,seconds,label,chunk_offset,used,joint_step,joint_step_change,joint_jerk,direction_change,gripper_value,gripper_change
gt,23,1.5333333333333334,free,0,False,,,,,0.0,
gt,24,1.6,free,1,False,0.023910001869341058,,,,0.0,0.0
gt,25,1.6666666666666667,free,2,False,0.022874987086031494,0.005004834958116427,,0.02191929116509006,0.0,0.0
gt,26,1.7333333333333334,free,3,True,0.023746953834494298,0.004164690427716639,0.007776047900686629,0.015265074105950016,0.0,0.0
gt,27,1.8,free,4,True,0.02282699203778754,0.003212281214284852,0.0031881082335666116,0.008737242629554887,0.0,0.0
gt,28,1.8666666666666667,free,5,True,0.01976125409158754,0.007021339634994205,0.00511701898577924,0.0442267197420918,0.0,0.0
gt,29,1.9333333333333333,free,6,True,0.017460988995330228,0.007656381224138745,0.012113410698637264,0.07727690648487862,0.0,0.0
gt,30,2.0,free,7,True,0.01865219293265047,0.010123409009852721,0.016172895460055903,0.15515638564000778,0.0,0.0
gt,31,2.066666666666667,free,8,True,0.017508163500663577,0.009328105566052874,0.018946006108965966,0.13122132075621884,0.0,0.0
gt,32,2.1333333333333333,free,9,True,0.020191323525097178,0.007077946855407617,0.006573984059066218,0.060673843325783294,0.0,0.0
gt,33,2.2,free,10,True,0.017413087830831026,0.004618579082764627,0.01030118779267069,0.01935855939156228,0.0,0.0
gt,34,2.2666666666666666,free,11,True,0.01616031297610059,0.0043311063506172335,0.005664190215389912,0.030541896590890905,0.0,0.0
gt,35,2.3333333333333335,free,12,True,0.015886184751327494,0.004595072653256058,0.005132155251883315,0.04097670191285807,0.0,0.0
gt,36,2.4,free,13,True,0.01541913675151517,0.0021784267019435448,0.00405623185250969,0.009241448995666812,0.0,0.0
gt,37,2.466666666666667,free,14,True,0.01666061908743159,0.00715881782118802,0.008656775199731608,0.09674751210636601,0.0,0.0
gt,38,2.533333333333333,free,15,True,0.015111102994650093,0.003592354939953827,0.009415753017290666,0.02086113775695586,0.0,0.0
gt,39,2.6,free,16,True,0.0140818541646932,0.0034727068007979144,0.0030037660524713707,0.02584759142124393,0.0,0.0
gt,40,2.6666666666666665,free,17,True,0.01652960892082555,0.002928284558060967,0.005489850312503385,0.005549199605202171,0.0,0.0
gt,41,2.7333333333333334,free,18,True,0.014988616390499762,0.0023909628655823245,0.004990836401124561,0.006744631590217431,0.0,0.0
gt,42,2.8,free,19,True,0.014772943359909217,0.0027017890805746594,0.0015820224669244399,0.016378270850779142,0.0,0.0
gt,43,2.8666666666666667,free,20,True,0.012747692284661941,0.0033221996470978207,0.005200210267358875,0.01841369504992363,0.0,0.0
gt,44,2.933333333333333,free,21,True,0.012132386916645217,0.0037344618985342606,0.006308764335639222,0.04386270098857936,0.0,0.0
gt,45,3.0,transition,22,False,0.013720510630781425,0.0020334821485114532,0.003380201807398839,0.004844671604152473,0.0,0.0
gt,46,3.066666666666667,transition,23,False,0.011300736280487387,0.011390583905525128,0.013060559538584872,0.3995117633441574,0.0,0.0
gt,47,3.1333333333333333,transition,0,False,,,,,0.0,
gt,48,3.2,transition,1,False,0.010000697666715729,,,,0.0,0.0
gt,49,3.2666666666666666,transition,2,False,0.011021443284107103,0.0047344487093497626,,0.09695459746193957,0.0,0.0
gt,50,3.3333333333333335,transition,3,False,0.010828022637424271,0.004144102316099373,0.008796202061365985,0.07179533122350623,0.0,0.0
gt,51,3.4,transition,4,False,0.009067078377797508,0.0032947230412496776,0.006504458099688049,0.039490687213133646,0.0,0.0
gt,52,3.466666666666667,transition,5,False,0.0097343558772887,0.0026603982541803803,0.004768584809549027,0.03757249443672439,0.0,0.0
gt,53,3.533333333333333,transition,6,False,0.007939547186640635,0.002733887378286272,0.005149696407425974,0.02751327000387571,0.0,0.0
gt,54,3.6,transition,7,False,0.008336994031454895,0.002713051859152589,0.005000368211670677,0.054407564508005546,0.0,0.0
gt,55,3.6666666666666665,transition,8,False,0.006366634582062996,0.00204771775401233,0.003924808495996173,0.0029280319416169487,0.0,0.0
gt,56,3.7333333333333334,transition,9,False,0.0069527123127463165,0.004236228031745226,0.004612637267929209,0.1988251469611395,0.0,0.0
gt,57,3.8,transition,10,False,0.004870965019068376,0.0059773698738299205,0.009907358554017903,0.4635163716544668,0.0,0.0
gt,58,3.8666666666666667,transition,11,False,0.005833477490340712,0.003983042844364063,0.009646705676584839,0.26286074726681496,0.0,0.0
gt,59,3.933333333333333,transition,12,False,0.0049784891981152525,0.002463042315204412,0.006360206807772564,0.09185989222644175,0.0,0.0
gt,60,4.0,fine,13,True,0.0050978566328762605,0.0026165658993726943,0.004291685785734458,0.13459948170899017,0.0,0.0
